user,date,renderedContent
habibiealwi,2022-12-30 13:04:15+00:00,@taysooyaaa @Reeeiirei @Askrlfess Tapi buat vaksin keduanya gak ada sertifikatnya itu gimana yaa? Apa harus ke tempat yang vaksin kedua atau ke tempat yang vaksin booster? Soalnya vaksin booster itu namanya jadi keterangan vaksin kedua yang seharusnya vaksin booster
theiconomic,2022-12-30 13:03:26+00:00,"Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) telah dicabut. Namun, masyarakat diimbau tetap waspada dan melakukan vaksin booster bagi yang belum. 
Selengkapnya
https://t.co/ADacuxQ7fG"
fuuIsun,2022-12-30 12:52:37+00:00,BISA BISANYA AKU DISERANG GINI??? LEE HAECHAN MAJU KM AKU DAH VAKSIN BOOSTER https://t.co/f03t9tZV5C
tauberitamedia,2022-12-30 12:51:03+00:00,"Sementara bagi yang belum mendapatkannya, pihak terminal menyediakan vaksin booster di terminal kedatangan.  https://t.co/Iy43AJ8tZl"
chohyey,2022-12-30 12:20:31+00:00,"subhanallah banget ini vaksin booster pertama, Allahuakbar banget rasanya. kek rasa yang gamau diulang lagiiiiii"
mow_ney,2022-12-30 12:14:50+00:00,"@KAI121 Min mau tanya, terkait pencabutan PPKM di Seluruh Indonesia, apakah syarat untuk naik Kereta Api harus tetap vaksin Booster? Atau minimal vaksin 2 aja?"
ferdymad1,2022-12-30 12:13:07+00:00,"Presiden @jokowi terlalu dini mencabut PPKM, padahal tidak ada urgensinya😏

Sehrsnya di minggu pertama/kedua Januari, stlh libur Nataru

@BudiGSadikin
@KemenkesRI
@drdickybudiman

https://t.co/JVD2BBIjdc

pakar mengingatkan perlu mitigasi krn cakupan vaksin booster msh rendah"
jasa_vaksin_,2022-12-30 12:12:10+00:00,"Ready tembak vaksin
Vaksin 1,2,3
Hapus data
Dll

Proses 5-30 mnt 
muncul sertif baru bayar

WA: 0895 7017 70099
#tembakvaksin #vaksin #Booster #vaksinasibooster #suntikvaksin #zonauang #KAI"
charlessiahaan,2022-12-30 12:09:50+00:00,"Presiden Cabut PPKM, Tapi Tetap Pakai Masker dan Vaksin Booster https://t.co/fuBhf8NezD"
halokartika,2022-12-30 11:54:16+00:00,"Akhirnya Umma vaksin booster juga, setelah dibolehin Abah— yg awalnya dia super insecure takut aku demam dsb after vaksin. Jadi semenjak ada Pumpkin, nahan buat nggak vaksin. Padahal aku biasa aja, dan kata Dokter juga aman. Kok dia yg drama. Cute! 😌"
tauberitamedia,2022-12-30 11:51:02+00:00,"Pencabutan PPKM tidak melulu mendapat respons positif. Seorang pakar mengingatkan, perlu mitigasi karena cakupan vaksin booster masih rendah. https://t.co/AZXdqm637b"
_Kikoenaktau,2022-12-30 11:49:01+00:00,Nyesel vaksin booster kalo efeknya sampe drop gini :(
BoboboxID,2022-12-30 11:45:59+00:00,"@nyonyanyinya Haloo kak, tidak perlu Antigen jika sudah vaksin booster 🐨✨"
matchacioya,2022-12-30 11:43:43+00:00,@heavyrainhw kak zut kalo ke ikea harus udah vaksin booster gak??
kumparan,2022-12-30 11:20:03+00:00,"Berbagai pengetatan yang berlaku selama ini mulai dicabut, salah satunya wajib vaksin booster bagi yang ingin melakukan perjalanan jarak jauh. #kumparanNEWS #newsupdate https://t.co/jlFTioLasp"
andalasfess,2022-12-30 11:11:02+00:00,Uaf! Info vaksin booster kbt
Rajendraraf1,2022-12-30 11:06:54+00:00,"@insidefolkative Apakah wajib menyertakan vaksin booster untuk kereta jarak jauh,@KAI121"
baliexpressnews,2022-12-30 11:06:45+00:00,"Tiongkok Buka Pintu Internasional, Pekerja Bali Minta Vaksin Booster Kedua https://t.co/PvpvuKWZQo"
basaheh,2022-12-30 10:56:48+00:00,@KAI121 Ini syarat ikut kuis harus vaksin booster ya? Mandatori pandemi sudah dicabut nih! 🤨
sinekadjadda,2022-12-30 10:38:11+00:00,"@convomf Kalo naek pesawat, kereta dll wajib vaksin/booster ga gess?? Pls kasih taw info terbaru nyaa"
malingkinhkokng,2022-12-30 10:36:45+00:00,@Jasavaks1n Vaksin booster brpaan kak?
agomala,2022-12-30 10:34:39+00:00,"@setkabgoid @jokowi Apakah vaksin, booster, pcr dan antigen serta peduli lindungi sudah tidak wajib lagi...? Begitu juga apakah sudah tidak jadi persyaratan dalam perjalanan...? Atas dicabut nya Kebijakan PPKM"
redboorisx,2022-12-30 10:21:43+00:00,"@Hi_Sagaa hufttt bingung cari tempat vaksin booster, thank you kakk"
BuwanaOLShop,2022-12-30 10:19:43+00:00,@FaktaSepakbola Tapi vaksin booster ke 4 masih lanjutkan?
liatin_kamu,2022-12-30 09:51:26+00:00,Ihh maksud aku vaksin booster beneran 😭
detikcom,2022-12-30 09:34:38+00:00,KAI menyatakan syarat naik kereta api jarak jauh masih wajib vaksin booster dan pakai masker meski PPKM dicabut.  https://t.co/hocwYsUoRk
detikfinance,2022-12-30 09:31:03+00:00,KAI menyatakan syarat naik kereta api jarak jauh masih wajib vaksin booster dan pakai masker meski PPKM dicabut.  https://t.co/VxEhMDkFWy
polrestamakota,2022-12-30 09:30:43+00:00,"@kusumaputriwa @infomalang Jika ingin melakukan vaksin booster 1 bisa langsung ke Pos Pelayanan Mobile dengan jadwal sebagai berikut, ya, kak.😊 https://t.co/IadLntAoRv"
Zetyo_pambudi7,2022-12-30 09:26:01+00:00,@Partono_ADjem Kemana2 masih harus syarat vaksin booster gak om?
xoxoo_allison,2022-12-30 09:21:35+00:00,"@KAI121 selamat sore, mau tanya kak untuk persyaratan naik kerata api, apakah anak umur 15 tahun belum vaksin booster boleh naik kereta? terimakasih"
Rio_DRUGHI,2022-12-30 09:15:43+00:00,"@geloraco Tiadakan juga segala syarat vaksin, booster apa pun itu, normalkan lg kembalikan seperti semula."
suriakentjana,2022-12-30 09:15:24+00:00,"PPKM dicabut, naik @KAI121 udah ga wajib vaksin booster ya?"
DudyDam_,2022-12-30 09:04:36+00:00,@mirazh_me Tetep harus vaksin + booster kalo kelayapan
tengenbinuzui,2022-12-30 09:04:30+00:00,@insidefolkative Naik pesawat or kereta masih wajib vaksin &amp; booster kh apa udah nggak?
redboorisx,2022-12-30 09:03:17+00:00,@sshaniindira kalo kereta antar kota gitu tau gak kath harus vaksin booster atau ngga?
cnbcindonesia,2022-12-30 09:01:39+00:00,"Nyari Vaksin Booster Covid-19 Makin Susah, Ini Kata Menkes https://t.co/WhF1oe06vx"
redboorisx,2022-12-30 08:54:06+00:00,"mau nanya, sekarang naik kereta wajib udah vaksin booster kah? kalo belum vaksin booster bakal ttp boleh naik kereta gak😔"
translatengindo,2022-12-30 08:49:46+00:00,Pembeda utama saat PPKM dicabut adalah penghentian kewajiban vaksin booster saat bepergian dengan kereta api dan pesawat terbang.
flvzliiizzzz,2022-12-30 08:47:00+00:00,@tanyakanrl Tapi naik kereta masih harus vaksin booster ya?
beritacovid,2022-12-30 08:44:30+00:00,"#Nyari Vaksin Booster Covid-19 Makin Susah, Ini Kata Menkes - CNBC Indonesia #Covid #Covid19 https://t.co/Hyjd8jFukF"
murianewscom,2022-12-30 08:39:38+00:00,"Menkes Sebut Stok Booster Melimpah, Lansia Diminta Segara Vaksin 

Selengkapnya Klik Tautan Berikut ini 
#Jakarta #Menkes #stokbooster #vaksin #Booster 

https://t.co/l4J8eDlGzJ"
bkpkkemenkes,2022-12-30 08:38:29+00:00,"Apa itu vaksin booster dan mengapa kita harus vaksin hingga booster? Cari tau jawabannya bersama narasumber Kepala Pusat Kebijakan Upaya Kesehatan BKPK Pretty Multihartina.

 https://t.co/vHAcyCmAz1"
WinJGR,2022-12-30 08:34:39+00:00,Menkes Budi mendesak masyarakat terutama kaum lansia untuk segera dibooster. Hal ini dikarenakan stok vaksin booster melimpah tetapi tingkat vaksinnya rendah.  https://t.co/6aN5pTAVvB
budakbillgates,2022-12-30 08:28:04+00:00,"@drpriono1 @jokowi Berdasarkan UU MK memang Sudah Harus Berakhir akhir Tahun Ini paling lama 2 Tahun.

Bukan Karerna Vaksin Booster. https://t.co/m3JLoIJ9bi"
Shbxii9,2022-12-30 08:26:20+00:00,@KAI121 min kalo saya blm vaksin booster keadaan lg hamil ada surat dr dokter bahwa blm boleh vaksin apa bisa naik kreta?
jasa_vaksin_,2022-12-30 08:24:26+00:00,"Ready tembak vaksin
Vaksin 1,2,3
Hapus data
Dll

Proses 5-30 mnt 
muncul sertif baru bayar

WA: 0895 7017 70099
#tembakvaksin #vaksin #Booster #vaksinasibooster #suntikvaksin #zonauang #KAI https://t.co/ZmJ73iZb98"
didier617099,2022-12-30 08:24:15+00:00,@triwul82 @jokowi Terkait dgn itu vaksin booster apa msh diperlukan ?
KAI121,2022-12-30 08:23:17+00:00,"@fullrebahan Selamat sore Kak. Bila yang dimaksud perjalanan dengan KA Jarak Jauh, maka penumpang usia mulai 18 tahun wajib sudah vaksin dosis ketiga/booster ya Kak. Silakan vaksin booster terlebih dahulu. Info lengkapnya bisa cek link berikut: https://t.co/Gex6hLK2n2. Trims."
tamerlane9470,2022-12-30 08:16:13+00:00,"Kalo PPKM dicabut, persyaratan vaksin booster masih ttp ada ga utk naik pesawat dan kereta?"
detikHealth,2022-12-30 08:11:27+00:00,Menkes Budi mendesak masyarakat terutama kaum lansia untuk segera dibooster. Hal ini dikarenakan stok vaksin booster melimpah tetapi tingkat vaksinnya rendah.  https://t.co/os8s1xT5aM
detikcom,2022-12-30 08:11:27+00:00,Menkes Budi mendesak masyarakat terutama kaum lansia untuk segera dibooster. Hal ini dikarenakan stok vaksin booster melimpah tetapi tingkat vaksinnya rendah.  https://t.co/I8qxQFyuXv
ivans_46,2022-12-30 08:06:24+00:00,@PinkyStevanie Bettul.. kmrn Sy ke GI ga dksh masuk krn hrs sudah vaksin Booster. Pdhl ke GI cm mo beli nasi uduk aja..
muhdrajaei,2022-12-30 07:44:46+00:00,@BadryelBaharom @Khairunizam @lady_bugg11 Dh tu...kenapa DG kesihatan suruh ambil vaksin booster? Hahaha. Mcm2 la hang nk mencarut.
KAI121,2022-12-30 07:15:10+00:00,"@paramartabari Selamat siang Kak dan mohon maaf. Syarat dan ketentuan perjalanan KA saat ini, menyesuaikan dengan Surat Edaran Kemenhub Nomor 84 Tahun 2022. Setiap penumpang KA Antarkota usia 18 tahun ke atas wajib sudah vaksin booster. |1"
Juliancrown_2,2022-12-30 06:34:01+00:00,Syarat perjalanan kereta api harus banget vaksin booster apa?
SoketListrik,2022-12-30 06:26:33+00:00,"@Ndoro68295960 @_Banyoe @hilmia0123 Udah vaksin booster ke-2 belon ? Ntar mati lu !

Dinkes DKI Bilang Cepat atau Lambat Omicron BF.7 dari China Masuk Indonesia, Bagaimana Antisipasinya? https://t.co/0w6GLH721V"
Specialnda407,2022-12-30 06:26:19+00:00,Tembak vaksin booster only booster 50 rb minta dm ya
garudarevenger,2022-12-30 06:12:16+00:00,"@idextratime lain kali, syarat Masuk stadion itu jangan Vaksin &amp; Booster aja

syarat utamanya di tulis paling pertama ""BERAKAL"""
Martha_pvk1,2022-12-30 06:07:17+00:00,"Situasi Covid saat ini mulai membaik karena mulai turunnya kasus Covid di Indonesia. Meski demikian, masyarakat diminta untuk tetap taati prokes dan melakukan vaksin booster, jangan sampai lonjakan kasus Covid kembali terjadi
#IndonesiaMenujuEndemi
https://t.co/E6f3UKAHms"
garudarevenger,2022-12-30 06:04:31+00:00,"@zoelfick makanya selain vaksin &amp; booster, lain kali syarat masuk stadion itu Harus berakal"
farahxsykin,2022-12-30 05:51:48+00:00,"@Kim_4104 @DGHisham Xde sekatan dr pelancong sana tp kite rakyat malaysia plk yg kene amik mcm2 vaksin + booster. Cuba la bijak sikit. Balik2 rakyat yg kene. Aku ingt da zaman DSAI ni, dah xde da vaksin2 &amp; booster ni🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️"
taysooyaaa,2022-12-30 05:18:13+00:00,"@habibiealwi @Reeeiirei @Askrlfess coba hub ke tempat km vaksin booster. trs kan biasanya dikasih kertas vaksin nya jg, bawa aja trs tanyain. soalnya itu sistem biasanya"
AshrulShamir,2022-12-30 05:06:44+00:00,"Takut sgt org China masuk kenapa? Kata dah vaksin,booster 2 kali.. x yakin ke? Majority rakyat Malaysia dah pernah kena covid, ada natural immunity dah pun.. ke x yakin jugak dgn anugerah tuhan? Owh lupa pulak, kate ada Paxlovid, ke x yakin jugak? Cukup2 lah fear mongering.."
__afukai,2022-12-30 04:36:25+00:00,"Sudah-sudahla penat kena covid tahu tak? Tahun ni saje dah 2x covid, bukan tak pakai mask tak vaksin + booster pun semua ikhtiar dah buat"
4JINhyung,2022-12-30 04:10:07+00:00,@KAI121 Admin info untuk vaksin booster di stasiun buka sampai jamber yaaa
AbeyMerah,2022-12-30 04:00:42+00:00,"@achmad_iqbal @CNNIndonesia ini lebih mudah kecolongan. contohnya aja. NiK yang sebenarnya belum pernah vaksin booster tapi banyak yang sudah terdaftar sudah di booster.
perihal password ini lebih rumit lagi. di indo maaf masih sangat gaptek dan sering lupa password, bahkan anak muda, kalo ortu uda pasti 🤣"
PlakatPolsek,2022-12-30 03:45:10+00:00,"Libur Nataru 2022/2023 telah tiba, tapi kita harus ingat bahwa Covid-19 masih disekitar kita. tips untuk sobat Polri dalam cegah penularan Covid-19 saat liburan : 1. Selalu kenakan masker saat di tempat ramai &amp;tertutup
2. Rajin mencuci tangan &amp; vaksin booster
3. Tidak berkerumun https://t.co/ivj2GRzG9p"
cheetahleemakeu,2022-12-30 03:42:55+00:00,"Min sy rencana naik kereta tanggal 1 jan nanti, tp sy blm vaksin booster krn tanggal lahir 21 jan, pas tanggal 1 udh keitung 18 thn apa masih 17 ya? Takutnya gk bisa naik krn blm booster @KAI121"
mufidh,2022-12-30 03:41:31+00:00,"@KAI121 Hai, Min, untuk vaksin booster di stasiun apa hanya untuk calon penumpang atau bisa umum juga? Kemudian vaksin yg dipakai apa ya?"
gulfpii,2022-12-30 03:34:50+00:00,Baru inget aku belum vaksin booster 😱
KAI121,2022-12-30 03:30:56+00:00,@feiibigwin Selamat pagi. Layanan vaksin booster yang tersedia di beberapa stasiun saat ini gratis ya Kak. Trims.
cutsarah,2022-12-30 03:19:13+00:00,Covid-19 berdampak besar bagi Indonesia dan seluruh dunia. Jagalah Protokol Kesehatan dan segera vaksin booster yang berguna bagi kekebalan tubuh dan demi memutus rantai #COVID19. #CovidIsNotOver #coronavirus #vaccine #BersamaLawanCorona https://t.co/KW2PuDhhyy
Ayyuk0,2022-12-30 02:36:45+00:00,@KAI121 Hai min. Stasiun Cikampek tersedia vaksin booster tidak yaa??
SayaZulkefle,2022-12-30 02:29:50+00:00,Tak faham la dekat kota bharu memang tak de tempat vaksin booster kedua ke. Dari hari tu lagi nak book tak dapat2.
mgeermn,2022-12-30 02:09:40+00:00,Korang still amik vaksin booster bagai ke? 😂😂😂😂
shoofiyahz,2022-12-30 02:08:10+00:00,"kebodohan di akhir tahun,beli tiket kereta buat pulkam kmrn tgl 21 des tapi blm vaksin booster ☺ alhasil gabisa ikut kereta yg pagi dan beli tiket lagi buat jam 10, lalu menunggu tuk booster di stasiun jam 8 dan bergabut ria karna nunggu kereta dateng. Sekian terimakasih https://t.co/wlZIgXISK5"
muhamadiiiqbal,2022-12-30 02:07:37+00:00,@straightxout Syarat buat masuk hooligan Indonesia harus vaksin booster gak bang?
ruuriiaw,2022-12-30 02:07:13+00:00,Hadiah untuk diri sendiri di akhir tahun: vaksin booster ke 2 pfizer 😌
maweww,2022-12-30 01:55:04+00:00,@KAI121 Min untuk perjalanan purwokerto - semarang apakah harus vaksin booster?
KAI121,2022-12-30 01:33:29+00:00,"@nrahmihps_ Selamat pagi Kak dan mohon maaf baru terbalaskan karena padatnya antrean interaksi. Calon penumpang KA lokal, tidak wajib vaksin booster ya Kak. Saat keberangkatan, wajib vaksin minimal dosis pertama |1"
Caracailla,2022-12-30 01:22:06+00:00,@kawaivibe Kalo naik kereta sekarang masih harus vaksin booster Ci?
Polsek_Sawan,2022-12-30 01:18:59+00:00,Ayo Vaksin Booster untuk kekebalan bersama. https://t.co/Xf7UBOZuK8
ddeonunakim,2022-12-30 00:26:45+00:00,Diingetin soalnya belum vaksin booster
detik_jatim,2022-12-30 00:26:07+00:00,Yuk Cek Jadwal Vaksin Booster Sidoarjo Jelang Tahun Baru https://t.co/iYcXlhCTjj
IdrisJu,2022-12-30 00:17:04+00:00,@BuletinTV3 Sepatutnya ketatkan peraturan untuk pelancong luar yang nak masuk Malaysia wajib ada vaksin booster.....IG KKM tak belajar ke dari pengalaman dulu.....benarkan pelancong China masuk....
ucinglicious,2022-12-30 00:02:59+00:00,"ayo vaksin booster dan tetap jaga prokes

#BasmiKKBdiPapua https://t.co/RaaGWDbWM0"
bucindyoo,2022-12-30 00:01:33+00:00,Vaksin Booster dan penerapan Prokes adalah dua kunci penting agar terhindar dari penyebaran virus Covid-19 #BasmiKKBdiPapua https://t.co/u9LfjjPTc1
coshopee__,2022-12-30 00:00:31+00:00,"Vaksin Booster dan penerapan Prokes adalah dua kunci untuk terhindar dari Covid

#BasmiKKBdiPapua https://t.co/ii1JUdfJMH"
Fazyan4,2022-12-30 00:00:31+00:00,"Vaksin booster bermanfaat untuk melindungi tubuh, prokes juga membantu menghindari virus
#BasmiKKBdiPapua https://t.co/AAD5RuPqBO"
Staralicea,2022-12-30 00:00:31+00:00,"Vaksin booster harus segera dilakukan, dan juga tetap menerapkan protokol kesehatan 
#BasmiKKBdiPapua https://t.co/fbanNbeRaF"
donkutsu_,2022-12-30 00:00:01+00:00,"Untuk menghindari virus harus dilakukan vaksin booster dan menerapkan protokol kesehatan
#BasmiKKBdiPapua https://t.co/197TrrH9Ey"
ofms8ajsy02,2022-12-30 00:00:01+00:00,Ayoo jangan ragu untuk vaksin booster yaaa teman2 #BasmiKKBdiPapua https://t.co/W65tyk9Y4s
jn_lee27,2022-12-29 23:53:09+00:00,"5. Memiliki Sertifikasi Boiler (SIO Boiler) 
6. Sudah vaksin booster covid-19  
7. Bisa bergabung SECEPATNYA  
 
CV dikirim hanya melalui: 
email: miuraindonesia@gmail.com cc: gita.sinaga@miuraz.com 
Subject email: MID_OPB_Nama"
Maulidoodles,2022-12-29 23:52:08+00:00,@KAI121 @Bayuwibowo1912 Kalau dari Jogja ke Cirebon wajib sudah vaksin booster? atau minimal vaksin pertama
jn_lee27,2022-12-29 23:38:59+00:00,"5. Memiliki Sertifikasi Boiler (SIO Boiler) 
6. Sudah vaksin booster covid-19  
7. Bisa bergabung SECEPATNYA  
 
CV dikirim hanya melalui: 
email: miuraindonesia@gmail.com cc: gita.sinaga@miuraz.com 
Subject email: MID_OPB_Nama"
jn_lee27,2022-12-29 23:29:28+00:00,"Wajib vaksin booster dosis ketiga
Bersedia di tempatkan di kawasan Deltamas
Kirim cv mu by web : 
https://t.co/VaPbIGYGDU

Note : silahkan lamar sebelum tanggal 31 Desember"
sebarberitacov,2022-12-29 22:22:39+00:00,"Jaga jarak, patuhi prokes, vaksin booster lengkap adalah kunci kesehatan
#TetapProkesCovid
#CovidMasihAda
@singkepBarat
@SingaManiaPasib"
carmelmaciato,2022-12-29 22:04:04+00:00,@KAI121 min untuk kereta antarkota tapi tujuan malang-blitar apakah tetap harus sudah vaksin booster?
_bangagoengDuA,2022-12-29 21:51:59+00:00,Istimewa banget cina dimata Indonesia?? Nanti kalau ditemukan virus lagi repot swab pcr vaksin booster 😱😱 https://t.co/pRWlRV6zSO
habibiealwi,2022-12-29 21:30:15+00:00,"@Reeeiirei @Askrlfess Maaf mau numpang nanya juga, ini kan gua udah padahal booster yaa tapi belum keluar ada keterangan sertifikat vaksin booster nya dsn di keterangan cuma sampe tahap vaksin ke 2 itu kenapa ya? Apa status vaksin do jadi vaksin pertama? https://t.co/Sxh55Vp8k4"
KAI121,2022-12-29 17:47:26+00:00,"@swiftasr @bbypluviophile 3. Telah memenuhi syarat untuk mendapatkan vaksin booster di aplikasi PeduliLindungi.
4. Membawa KTP.
5. Menunjukkan tiket KA (bagi calon penumpang).
Trims.|2"
seonghwanted,2022-12-29 17:07:31+00:00,Pinter bgt emang cuaca lg gk mendukung malah vaksin booster 🤗🥰
Jeongtwolf_,2022-12-29 17:02:21+00:00,"@jeongwooik KK, KTP, vaksin booster sama tes narkotika mbar"
haechanpriikk,2022-12-29 16:58:42+00:00,"@markleepjamas @watermelonzzz1 kalau engga buat persyaratan apa"" keknya boleh deh aslian
tapi sekarang kalau mau pergi luar kota harus udah vaksin booster"
watermelonzzz1,2022-12-29 16:32:16+00:00,"@markleepjamas eh kalo itu aku kurang tau deh li😭aku vaksin booster krn mau pulkam aja, soalnya persyaratannya wajib vaksin booster"
markleepjamas,2022-12-29 16:26:29+00:00,@watermelonzzz1 kalo nggak vaksin booster boleh nggak si kak?
_balubay,2022-12-29 16:19:59+00:00,@KAI121 Fasilitas Vaksin Booster di stasiun PS apakah masih ada??
_balubay,2022-12-29 16:19:10+00:00,@KAI121 Fasilitas vaksin booster di stasiun apakah masih ada??
tamerlane9470,2022-12-29 15:00:56+00:00,"Kalo PPKM berakhir, apakah mereka yg belum di vaksin covid dan belum di vaksin booster bisa bernafas lega?"
itskindafns,2022-12-29 14:44:27+00:00,"@UNSfess_ kmrn ak naik joglosemarkerto jg vaksin booster dl sih, soalnya di tiket fisik ada keterangan udh vaksin booster apa blm gt"
Naufal23,2022-12-29 14:39:03+00:00,"Eee vaksin booster 2 nyeri uga, tapi ga senyeri booster 1."
nurfajar_banser,2022-12-29 14:12:27+00:00,"Efek samping vacsin c0v1d
...
Hampir Semua Anggota Keluarga Indra Bekti Positif Covid-19 Omicron ➡️ Meski Sudah Suntik Vaksin Booster ⬅️ https://t.co/quEuZwJsRi lewat @tribunnews"
