,tweets,sentiment
72,"['libur', 'nataru', 'covid', 'sekitar', 'tips', 'sobat', 'cegah', 'tular', 'covid', 'libur', 'kena', 'ramai', 'amptertutup', 'rajin', 'cuci', 'tangan', 'vaksin', 'booster', 'kerumun']",1.0
73,"['rencana', 'tanggal', 'vaksin', 'booster', 'tanggal', 'lahir', 'pas', 'tanggal', 'keitung', 'takut', 'booster']",-1.0
74,"['selamat', 'pagi', 'layan', 'vaksin', 'booster', 'sedia', 'stasiun', 'gratis', 'terimakasih']",1.0
75,"['covid', 'dampak', 'indonesia', 'dunia', 'jaga', 'protokol', 'sehat', 'vaksin', 'booster', 'guna', 'kebal', 'tubuh', 'putus', 'rantai']",1.0
76,"['stasiun', 'cikampek', 'sedia', 'vaksin', 'booster']",1.0
77,"['bodoh', 'tahunbeli', 'tiket', 'pulkam', 'tanggal', 'des', 'vaksin', 'booster', 'alhasil', 'tidakbisa', 'pagi', 'beli', 'tiket', 'jam', 'tunggu', 'booster', 'stasiun', 'jam', 'bergabut', 'ria', 'tunggu', 'sekian', 'terimakasih']",1.0
78,"['hadiah', 'vaksin', 'booster', 'pfizer']",1.0
79,"['selamat', 'pagi', 'maaf', 'balas', 'padat', 'antre', 'interaksi', 'calon', 'tumpang', 'kakak', 'lokal', 'wajib', 'vaksin', 'booster', 'berangkat', 'wajib', 'vaksin', 'minimal', 'dosis']",1.0
80,"['ayo', 'vaksin', 'booster', 'kebal']",1.0
81,"['ayo', 'cek', 'jadwal', 'vaksin', 'booster', 'sidoarjo', 'jelang']",1.0
82,"['patut', 'ketat', 'atur', 'lancong', 'malaysia', 'wajib', 'vaksin', 'boosterig', 'kkm', 'ajar', 'alam', 'dulubenarkan', 'lancong', 'china']",1.0
83,"['ayo', 'vaksin', 'booster', 'jaga', 'prokes']",1.0
84,"['vaksin', 'booster', 'terap', 'prokes', 'kunci', 'hindar', 'sebar', 'virus', 'covid']",1.0
85,"['vaksin', 'booster', 'terap', 'prokes', 'kunci', 'hindar', 'covid']",1.0
86,"['vaksin', 'booster', 'manfaat', 'lindung', 'tubuh', 'prokes', 'bantu', 'hindar', 'virus']",1.0
87,"['vaksin', 'booster', 'terap', 'protokol', 'sehat']",1.0
88,"['hindar', 'virus', 'vaksin', 'booster', 'terap', 'protokol', 'sehat']",1.0
89,"['ragu', 'vaksin', 'booster', 'teman']",-1.0
90,"['milik', 'sertifikasi', 'boiler', 'sio', 'boiler', 'vaksin', 'booster', 'covid', 'gabung', 'cepat', 'cv', 'kirim', 'email', 'miuraindonesiacom', 'carboncopy', 'gitasinagacom', 'subject', 'email', 'midopbnama']",1.0
91,"['jogja', 'cirebon', 'wajib', 'vaksin', 'booster', 'minimal', 'vaksin']",-1.0
92,"['wajib', 'vaksin', 'booster', 'dosis', 'tiga', 'sedia', 'tempat', 'kawasan', 'deltamas', 'kirim', 'cv', 'mu', 'web', 'note', 'silah', 'lamar', 'tanggal', 'desember']",-1.0
93,"['jaga', 'jarak', 'patuh', 'prokes', 'vaksin', 'booster', 'lengkap', 'kunci', 'sehat']",1.0
94,"['antarkota', 'tuju', 'malangblitar', 'vaksin', 'booster']",1.0
95,"['istimewa', 'banget', 'cina', 'mata', 'indonesia', 'temu', 'virus', 'repot', 'swab', 'pcr', 'vaksin', 'booster']",-1.0
96,"['maaf', 'numpang', 'booster', 'terang', 'sertifikat', 'vaksin', 'booster', 'dsn', 'terang', 'tahap', 'vaksin', 'status', 'vaksin', 'vaksin']",1.0
97,"['penuh', 'syarat', 'vaksin', 'booster', 'aplikasi', 'pedulilindungi', 'bawa', 'kartutandapenduduk', 'tiket', 'kakak', 'calon', 'tumpang', 'terimakasih']",1.0
98,"['pinter', 'banget', 'cuaca', 'dukung', 'vaksin', 'booster']",1.0
99,"['kakak', 'kartutandapenduduk', 'vaksin', 'booster', 'tes', 'narkotika', 'mbar']",-1.0
100,"['liaku', 'vaksin', 'booster', 'pulkam', 'syarat', 'wajib', 'vaksin', 'booster']",-1.0
101,"['fasilitas', 'vaksin', 'booster', 'stasiun', 'ps']",1.0
102,"['fasilitas', 'vaksin', 'booster', 'stasiun']",1.0
103,"['joglosemarkerto', 'vaksin', 'booster', 'tiket', 'fisik', 'terang', 'vaksin', 'booster']",1.0
104,"['eee', 'vaksin', 'booster', 'nyeri', 'uga', 'nyeri', 'booster']",-1.0
105,"['efek', 'samping', 'vacsin', 'cvd', 'anggota', 'keluarga', 'indra', 'bekti', 'positif', 'covid', 'omicron', 'suntik', 'vaksin', 'booster']",1.0
106,"['vaksin', 'booster', 'pfizer', 'gada', 'efek', 'gel', 'itu', 'parah', 'pas', 'vaksin', 'beda', 'beda', 'efek']",-1.0
107,"['sebenernya', 'blio', 'blio', 'semangat', 'nulis', 'enih', 'vaksin', 'booster']",1.0
108,"['booster', 'oktober', 'keponakan', 'menit', 'berangkat', 'vaksin', 'booster', 'stsenen']",-1.0
109,"['sakarepmu', 'menyatakancinta', 'vaksin', 'booster', 'nae', 'kakak', 'jarak', 'heuheu']",1.0
110,"['vaksin', 'utama', 'abang', 'masuk', 'rakyat', 'china', 'msia', 'putus', 'rantai', 'covid', 'suntik', 'vaksin', 'booster', 'tangki', 'lori', 'virus', 'putus', 'bawa', 'negara']",1.0
111,"['persen', 'lanjutusia', 'vaksin', 'booster']",1.0
112,"['vaksin', 'booster', 'kapolres', 'bojonegoro', 'kepolisiandaerah', 'jawatimur', 'kepolisianresor', 'bojonegoro', 'layan', 'prima']",1.0
113,"['geram', 'pulak', 'suka', 'amik', 'vaksin', 'booster', 'bising', 'bising', 'taknak', 'amik', 'pasal']",-1.0
114,"['adekku', 'pas', 'vaksin', 'booster', 'tidakbisa']",1.0
115,"['kitorang', 'malas', 'offer', 'vaksin', 'booster', 'bazir', 'masyuk', 'silap', 'gomen', 'bayar', 'rm', 'cucuk', 'vaksin']",-1.0
116,"['vaksin', 'booster', 'stasiun', 'bayar']",1.0
117,"['jog', 'informasi', 'vaksin', 'booster']",1.0
118,"['suruh', 'rakyat', 'vaksin', 'booster', 'sedia', 'pelan', 'tindak', 'sekat', 'lancong', 'tutup', 'border', 'ambik', 'vaksin', 'sakit', 'raja', 'bertggjwb']",-1.0
119,"['kotor', 'berangkat', 'vaksin', 'booster']",-1.0
120,"['sore', 'admin', 'adik', 'umur', 'vaksin', 'vaksin', 'booster', 'boleh', 'umur', 'surat', 'antigen', 'jwbnnya', 'terimakasih']",1.0
121,"['open', 'tembak', 'vaksin', 'booster', 'only', 'booster', 'minat', 'dm']",-1.0
122,"['jog', 'informasi', 'vaksin', 'booster', 'besok']",1.0
123,"['vaksinbooster', 'tingkat', 'kebal', 'tubuh', 'warga', 'masyarakat', 'tahan', 'virus', 'protokol', 'sehat', 'vaksinasi', 'perhati', 'beri', 'vaksinasi', 'rangsang', 'sistem', 'imun', 'bentuk', 'kebal']",1.0
124,"['vaksin', 'booster', 'lindung', 'ekstra', 'lupa', 'pakai', 'jaga', 'jarak', 'cuci', 'tangan', 'pakai', 'sabun', 'hindar', 'covid', 'pandemi']",1.0
125,"['vaksin', 'booster', 'kapolres', 'bojonegoro', 'kepolisiandaerah', 'jawatimur', 'kepolisianresor', 'bojonegoro', 'layan', 'prima', 'operasi', 'lilin']",1.0
126,"['rencana', 'jalan', 'kakak', 'antarkota', 'tumpang', 'usia', 'wajib', 'vaksin', 'booster', 'informasi', 'lengkap', 'cek', 'link', 'terimakasih']",1.0
127,"['lebaran', 'sareh', 'makam', 'almh', 'sekar', 'halang', 'covid', 'vaksin', 'booster', 'dokumen', 'jalan', 'mabuk', 'darat', 'bis', 'turun', 'tengah', 'jalan']",1.0
128,"['siang', 'admin', 'adik', 'umur', 'vaksin', 'vaksin', 'booster', 'boleh', 'umur', 'surat', 'antigen', 'jwbnnya', 'terimakasih']",1.0
129,"['gokar', 'vaksin', 'booster', 'tekno', 'buka', 'buka', 'syarat']",1.0
130,"['vaksin', 'booster', 'bawa', 'kesan', 'samping', 'rakyat', 'vaksin', 'galak', 'cerita', 'kaji', 'teliti', 'laksana']",1.0
131,"['isi', 'twitter', 'ku', 'teume', 'bingung', 'tikecting', 'konser', 'treasure', 'teume', 'pas', 'nonton', 'konser', 'treasure', 'vaksin', 'booster', 'teume', 'menang', 'pojok', 'tidakbisa', 'nonton', 'konser', 'treasure', 'teume', 'ratap', 'nasib', 'uang', 'cont']",1.0
132,"['vaksin', 'covid', 'kuat', 'kayak', 'tahan', 'banting', 'banget', 'habis', 'vaksin', 'booster', 'ngedrop', 'hujan', 'kali', 'gampang']",1.0
133,"['ide', 'bagus', 'kaa', 'ayo', 'kakak', 'wujudin', 'yok', 'tidakapa-apa', 'sad', 'ending', 'kuat', 'vaksin', 'booster']",1.0
134,"['kai', 'sedia', 'layan', 'vaksin', 'booster', 'stasiun', 'malang']",-1.0
135,"['kalauu', 'vaksin', 'booster', 'gmna', 'cek']",-1.0
136,"['teume', 'konser', 'ice', 'bsd', 'cek', 'vaksin', 'booster', 'enggaa', 'standing', 'ana', 'cekk']",-1.0
137,"['vaksin', 'booster', 'kapolres', 'bojonegoro', 'kepolisiandaerah', 'jawatimur', 'kepolisianresor', 'bojonegoro', 'layan', 'prima']",1.0
138,"['ayo', 'laku', 'vaksin', 'booster', 'tingkat', 'kebal']",1.0
139,"['habis', 'vaksin', 'booster', 'tangan', 'kiri', 'susah', 'banget', 'gerak', 'gel', 'hilang', 'masyaallah']",1.0
140,"['ralat', 'ribu', 'yuan', 'juta', 'rupiah', 'video', 'basement', 'rumah', 'sakit', 'anshan', 'ubah', 'kamar', 'mayat', 'netizen', 'unggah', 'kamar', 'awat', 'ubah', 'mayat', 'vaksin', 'booster']",-1.0
141,"['candy', 'maju', 'takut', 'vaksin', 'booster']",1.0
142,"['milik', 'komunikasi', 'tim', 'milik', 'minat', 'lapang', 'milik', 'sertifikat', 'vaksin', 'covid', 'wajib', 'vaksin', 'booster', 'sedia', 'indonesia']",1.0
143,"['covad', 'covid', 'covad', 'covid', 'dengkul', 'mu', 'pokok', 'paksa', 'apa', 'vaksin', 'booster', 'aplikasi', 'peduli', 'buang', 'percaya', 'tuhan', 'mu', 'masingmasing', 'allah', 'swt', 'tuhan', 'cipta', 'alam', 'raya']",1.0
144,"['vaksin', 'booster', 'terap', 'protokol', 'sehat', 'kunci', 'pisah', 'muncul', 'virus', 'covid', 'varian']",1.0
145,"['vaksin', 'booster', 'ayo', 'aman']",1.0
146,"['lupa', 'laku', 'vaksin', 'booster', 'vaksin', 'booster', 'terap', 'proses', 'kunci', 'pisah']",1.0
147,"['ayo', 'vaksin', 'booster', 'cegah', 'sebar', 'covid']",1.0
148,"['yuyuyuk', 'ready', 'vaksin', 'concert', 'concert', 'pergi', 'libur', 'vaksin', 'booster', 'tembak', 'vaksin', 'apk', 'bayar', 'minat', 'dmwa', 'netflix', 'canva', 'spotify']",1.0
149,"['tumpang', 'umur', 'vaksin', 'booster']",1.0
150,"['hubung', 'hubung', 'aman', 'tenang', 'authornya', 'cinta', 'redaksi', 'flag', 'green', 'flag', 'picu', 'perang', 'takut', 'cinta', 'vaksin', 'booster']",1.0
151,"['railmin', 'imbau', 'vaksin', 'booster', 'informasi', 'lengkap', 'syarat', 'tentu', 'baru', 'kakak', 'kakak', 'cek', 'via', 'link', 'terima', 'kasih']",1.0
152,"['stasiun', 'medan', 'layan', 'vaksin', 'booster']",1.0
153,"['habis', 'vaksin', 'booster', 'tangan', 'susah', 'gerak', 'amjinc']",1.0
154,"['aamiin', 'bisaaa', 'kayak', 'nabung', 'moga', 'open', 'tiket', 'lama', 'tidakbisa', 'nonton', 'vaksin', 'booster', 'ijin', 'pokok', 'tertawa', 'have', 'fun', 'yaaaaaa']",1.0
155,"['vaksin', 'booster', 'tetep', 'gakuat']",-1.0
156,"['pandang', 'betina', 'birah', 'tunggu', 'vaksin', 'steril', 'vaksin', 'besok', 'vaksin', 'booster', 'steril', 'vaksin', 'teman', 'nyaranin', 'catnip', 'ampuh', 'kucing']",-1.0
157,"['takut', 'vaksin', 'booster']",1.0
158,"['efek', 'vaksin', 'rambah', 'ertong', 'selebretong', 'ayo', 'vaksin', 'booster']",1.0
159,"['mules', 'banget', 'vaksin', 'tbtb', 'besok', 'ajak', 'vaksin', 'booster']",-1.0
160,"['isi', 'scan', 'peduli', 'lindung', 'ksana', 'vaksin', 'booster']",1.0
161,"['pesawat', 'vaksin', 'booster']",-1.0
162,"['jaga', 'prokes', 'vaksin', 'booster', 'putus', 'rantai', 'covid']",1.0
163,"['finished', 'reading', 'wednesday', 'december', 'bekas', 'prediksi', 'badai', 'deras', 'habis', 'vaksin', 'booster', 'alami', 'gejala', 'pusing', 'badan', 'remuk', 'bangun', 'tidur']",-1.0
164,"['tembak', 'vaksin', 'booster', 'only', 'booster', 'dm']",-1.0
165,"['bytheway', 'pdf', 'abang', 'adek', 'kakak', 'keroyokan', 'vaksin', 'booster', 'gilagila', 'dikit', 'habis', 'baca']",1.0
166,"['berangkat', 'kendala', 'vaksin', 'booster', 'ribet', 'banget', 'vaksin']",-1.0
167,"['teman', 'butuh', 'bukti', 'print', 'vaksin', 'booster', 'informasi']",-1.0
168,"['galauu', 'bgtt', 'nabung', 'konser', 'takut', 'dibolehin', 'krna', 'vaksin', 'booster']",1.0
169,"['anjing', 'vaksin', 'booster', 'booster']",-1.0
170,"['anjengggg', 'ejar', 'maju', 'takut', 'vaksin', 'booster']",1.0
171,"['allah', 'vaksin', 'booster']",1.0
172,"['kantor', 'ngesubsidize', 'vaksin', 'booster', 'covid', 'banding', 'viral', 'pegawai', 'cuti', 'sakit', 'workdays']",1.0
173,"['vaksin', 'booster', 'lupa', 'prokes', 'putus', 'sebar', 'covid']",1.0
174,"['butuh', 'vaksin', 'booster', 'cek', 'lokasi', 'jadwal', 'vaksinasi', 'kota', 'gratis']",-1.0
175,"['benda', 'kepolisianresor', 'metropolitan', 'tangerang', 'kota', 'benda', 'kelompok', 'jurumudi', 'aipda', 'niam', 'lurah', 'jurumudi', 'chaerudin', 'laksana', 'aman', 'giat', 'vaksin', 'booster', 'lanjutusia', 'laksana', 'jurumudi']",-1.0
176,"['warga', 'surabaya', 'cari', 'vaksin', 'booster', 'jaga', 'imunitas', 'tubuh', 'selenggara', 'vaksinasi', 'lokasi', 'sedia', 'ayo', 'buru', 'vaksin']",1.0
177,"['semesta', 'kasih', 'lancar', 'vaksin', 'booster']",1.0
178,"['work', 'syarat', 'dokumen', 'kai', 'lampir', 'cv', 'vaksin', 'booster', 'bagi', 'upload', 'dokumen', 'jenis', 'file', 'mkasii']",1.0
179,"['beritapapua', 'ratus', 'nakes', 'biak', 'papua', 'vaksin', 'booster']",-1.0
180,"['informasi', 'vaksin', 'booster', 'daerah', 'pamulang', 'dongg', 'orangtua', 'thank']",1.0
181,"['informasi', 'vaksin', 'booster', 'pamulang', 'orangtua', 'thank']",1.0
182,"['jaga', 'prokes', 'vaksin', 'booster', 'putus', 'rantai', 'covid', 'covid', 'dampak', 'indonesia', 'dunia', 'vaksinasi', 'booster', 'dosis', 'tular', 'covid', 'cegah']",-1.0
183,"['wajib', 'vaksin', 'booster', 'dosis']",-1.0
184,"['masyarakat', 'rentan', 'menerimavaksin', 'coviddosis', 'tiga', 'atauboosterper', 'selasa', 'desember', 'program', 'vaksinboosterbagi', 'masyarakat', 'jalan', 'via']",-1.0
185,"['vaksin', 'booster', 'antisipasi', 'naik', 'laju', 'tular', 'covid', 'vaksin', 'booster', 'lindung', 'ekstra']",1.0
186,"['permisi', 'tanggal', 'desember', 'jalan', 'jakarta', 'pas', 'tanggal', 'desember', 'vaksin', 'booster', 'laku', 'vaksin', 'booster', 'tanggal']",-1.0
187,"['permisi', 'desember', 'umur', 'vaksin', 'booster', 'pas', 'tanggal']",1.0
188,"['gebyar', 'vaksin', 'booster', 'laksana', 'wilayah', 'jajar', 'kepolisianresor', 'tulungagung']",1.0
189,"['serius', 'vaksin', 'booster', 'booster', 'pick', 'pick', 'wlopun', 'urut', 'bodoh']",-1.0
190,"['done', 'all', 'rules', 'kakak', 'dom', 'jakarta', 'izin', 'orangtua', 'vaksin', 'booster', 'umur', 'legal', 'ongkos', 'ksna', 'aman', 'untung', 'kakak', 'pilih', 'ketemu', 'bong', 'tenang', 'kakak', 'sedia', 'ketemu', 'kakak', 'dsna', 'smoga', 'rezeki', 'kakak', 'lancar', 'stay', 'healthy', 'kakak']",1.0
191,"['vaksin', 'booster', 'ngerasain', 'kipi']",1.0
192,"['ohiyaa', 'vaksin', 'booster', 'dom', 'jabodetabek', 'insyaa', 'allah', 'akses', 'gampang', 'gtlt', 'bismillahirrahmanirrahim', 'moga', 'jalan', 'ketemu', 'sebonggtlt']",1.0
193,"['vaksin', 'booster', 'sakit', 'lirik', 'pickaw']",-1.0
194,"['pantes', 'vaksin', 'booster']",1.0
195,"['pantes', 'menang', 'vaksin', 'booster']",1.0
196,"['pantesan', 'win', 'vaksin', 'booster']",-1.0
197,"['syarat', 'kai', 'vaksin', 'booster', 'lebihbaik', 'nebeng', 'truck', 'gratis', 'pakai', 'vaksin']",1.0
198,"['pantes', 'pakai', 'vaksin', 'booster']",1.0
199,"['wadaw', 'pantes', 'menang', 'menang', 'rupany', 'vaksin', 'booster']",1.0
200,"['tangan', 'kiri', 'sakit', 'bekas', 'vaksin', 'booster', 'kayak', 'months', 'tangan', 'kanan', 'sakit', 'habis', 'peleset', 'lengkap']",-1.0
201,"['ayo', 'concert', 'concert', 'pergi', 'libur', 'vaksin', 'booster', 'tembak', 'vaksin', 'apk', 'bayar', 'minat', 'dmwa', 'netflix', 'canva', 'spotify']",1.0
202,"['informasi', 'vaksin', 'booster', 'st', 'lempuyangan']",1.0
203,"['perpusnas', 'buka', 'silah', 'minimal', 'vaksin', 'dosis', 'menghimbau', 'vaksin', 'booster', 'mustaka', 'wajib', 'scan', 'qr', 'aplikasi', 'pedulilindungi']",-1.0
204,"['jog', 'solo', 'vaksin', 'booster']",1.0
205,"['info', 'tarik', 'jakarta', 'sendiri', 'vaksin', 'booster']",-1.0
206,"['vaksin', 'booster', 'only', 'dm']",1.0
207,"['kai', 'wajib', 'vaksin', 'booster', 'syarat', 'sumut']",-1.0
